cohesion,separation,alignment,fear,fitness
0.006443322771642796,-0.5020269013037323,0.16785607141881426,1.6143268674445792,20000
-0.00363955436008123,-0.5172933156711669,-0.004846248693394839,1.6331303472606178,19796
-0.0227925103533656,-0.5067703599497649,-0.15084817623562563,1.6820909943329077,19686
-0.019335995191787553,-0.4887623454073946,-0.0846473048124936,1.8016586667367431,19440
0.2731822644836778,-0.5723632064779759,-0.14247605474814345,1.747185044275052,19380
0.1506867588624214,-0.49347486742012925,-0.20932951405802322,1.7067962970306265,19346
0.22187278107833458,-0.531449704532053,-0.15775267058507406,1.6333581097978975,19144
0.18959295095545098,-0.5814489435725728,-0.12041033005335933,1.6333581097978975,19125
0.18066745611513435,-0.48059083715104267,-0.09937849938617548,1.6143603790598189,19121
0.1655732432737997,-0.531700101698111,-0.1402062282738892,1.652161589613936,19105
0.13388880516341772,-0.6696797461917863,-0.04751321961009187,1.6223750262009697,19104
-0.004249457278052924,-0.45116803392272203,-0.08188990850042252,1.5617212259042357,18881
0.1608572354547448,-0.5258901374801233,-0.05105645939152276,1.6223750262009697,18831
0.18064165251810393,-0.5413391489798739,-0.18325152940178688,1.6763889859147456,18731
0.19313706557762841,-0.4758908984396034,-0.08839879992323749,1.6223750262009697,18685
0.18066745611513435,-0.46147105962068435,-0.19917021623027834,1.6253434626567467,18661
0.03741307884989615,-0.5461171167125574,-0.21862836294960666,1.8363733536367681,18651
0.00948731976951801,-0.4567711209092451,-0.18819051676734036,1.6820909943329077,18625
0.21751871003582912,-0.5540928283006058,-0.1298163455684418,1.6820909943329077,18602
-0.02941887232351158,-0.5040287597748292,-0.2573496249247027,1.8206899090900615,18423
